number,Date,Value
168,2/26/2017,1150.37
169,2/27/2017,1190.75195
170,2/28/2017,1187.565286
171,3/1/2017,1190.89
172,3/2/2017,1259.410817
173,3/3/2017,1285.14
174,3/4/2017,1287.0
175,3/5/2017,1270.9333
176,3/6/2017,1275.197375
177,3/7/2017,1279.5
178,3/8/2017,1157.3933
179,3/9/2017,1192.469143
180,3/10/2017,1192.09
181,3/11/2017,1179.159875
182,3/12/2017,1227.494625
183,3/13/2017,1227.68
184,3/14/2017,1245.370786
185,3/15/2017,1257.399625
186,3/16/2017,1257.0
187,3/17/2017,1091.171888
188,3/18/2017,952.2323625
189,3/19/2017,967.69
190,3/20/2017,1049.0844880000002
191,3/21/2017,1118.630043
192,3/22/2017,1113.0
193,3/23/2017,1038.789
194,3/24/2017,941.9197142999999
195,3/25/2017,927.93
196,3/26/2017,956.7863125
197,3/27/2017,1037.22925
198,3/28/2017,1041.04
199,3/29/2017,1040.5755
200,3/30/2017,1037.90455
201,3/31/2017,1034.74
202,4/1/2017,1086.9295710000001
203,4/2/2017,1099.169125
204,4/3/2017,1079.99
205,4/4/2017,1141.600363
206,4/5/2017,1133.079314
207,4/6/2017,1133.53
208,4/7/2017,1190.45425
209,4/8/2017,1181.149838
210,4/9/2017,1184.03
211,4/10/2017,1207.744875
212,4/11/2017,1226.617038
213,4/12/2017,1219.09
214,4/13/2017,1180.023713
215,4/14/2017,1185.260057
216,4/15/2017,1170.36
217,4/16/2017,1186.9274130000001
218,4/17/2017,1205.634875
219,4/18/2017,1176.97
220,4/19/2017,1217.930088
221,4/20/2017,1241.686325
222,4/21/2017,1236.63
223,4/22/2017,1261.311225
224,4/23/2017,1257.988113
225,4/24/2017,1240.84
226,4/25/2017,1279.414688
227,4/26/2017,1309.109875
228,4/27/2017,1288.02
229,4/28/2017,1331.2944289999998
230,4/29/2017,1334.9790380000002
231,4/30/2017,1333.0
232,5/1/2017,1417.1728130000001
233,5/2/2017,1452.076288
234,5/3/2017,1447.55
235,5/4/2017,1508.292125
236,5/5/2017,1533.3350710000002
237,5/6/2017,1518.75
238,5/7/2017,1535.8684289999999
239,5/8/2017,1640.619225
240,5/9/2017,1651.1
241,5/10/2017,1762.88625
242,5/11/2017,1820.9905629999998
243,5/12/2017,1829.0
244,5/13/2017,1771.920013
245,5/14/2017,1776.3165
246,5/15/2017,1780.0
247,5/16/2017,1739.031975
248,5/17/2017,1807.4850629999999
249,5/18/2017,1783.98
250,5/19/2017,1961.520488
251,5/20/2017,2052.909788
252,5/21/2017,2008.84
253,5/22/2017,2090.662313
254,5/23/2017,2287.7102879999998
255,5/24/2017,2256.32
256,5/25/2017,2387.206286
257,5/26/2017,2211.976857
258,5/27/2017,2279.82
259,5/28/2017,2192.9808
260,5/29/2017,2275.9307
261,5/30/2017,2290.02
262,5/31/2017,2285.933914
263,6/1/2017,2399.242671
264,6/2/2017,2409.93
265,6/3/2017,2525.7651579999997
266,6/4/2017,2516.173143
267,6/5/2017,2529.53
268,6/6/2017,2883.313697
269,6/7/2017,2664.920863
270,6/8/2017,2683.03
271,6/9/2017,2827.4913
272,6/10/2017,2845.372857
273,6/11/2017,2898.63
274,6/12/2017,2657.6750629999997
275,6/13/2017,2748.185086
276,6/14/2017,2706.0
277,6/15/2017,2442.48025
278,6/16/2017,2464.9598140000003
279,6/17/2017,2477.94
280,6/18/2017,2507.389252
281,6/19/2017,2617.210263
282,6/20/2017,2600.0
283,6/21/2017,2671.04325
284,6/22/2017,2727.288013
285,6/23/2017,2713.48
286,6/24/2017,2589.164888
287,6/25/2017,2512.366286
288,6/26/2017,2502.03
289,6/27/2017,2517.903114
290,6/28/2017,2585.349186
291,6/29/2017,2558.3
292,6/30/2017,2477.641375
293,7/1/2017,2501.191343
294,7/2/2017,2421.26
295,7/3/2017,2561.225429
296,7/4/2017,2599.7298379999997
297,7/5/2017,2598.89
298,7/6/2017,2609.96775
299,7/7/2017,2491.201214
300,7/8/2017,2502.86
301,7/9/2017,2536.238938
302,7/10/2017,2366.170143
303,7/11/2017,2327.09
304,7/12/2017,2385.748571
305,7/13/2017,2354.783417
306,7/14/2017,2338.49
307,7/15/2017,2058.9956
308,7/16/2017,1931.2143
309,7/17/2017,1910.96
310,7/18/2017,2320.12225
311,7/19/2017,2264.7657
312,7/20/2017,2265.21
313,7/21/2017,2682.195363
314,7/22/2017,2807.609857
315,7/23/2017,2825.51
316,7/24/2017,2751.8210289999997
317,7/25/2017,2560.997917
318,7/26/2017,2564.3
319,7/27/2017,2647.625
320,7/28/2017,2781.636583
321,7/29/2017,2784.8
322,7/30/2017,2745.955417
323,7/31/2017,2866.4316670000003
324,8/1/2017,2862.9
325,8/2/2017,2693.6339829999997
326,8/3/2017,2794.117717
327,8/4/2017,2790.0
328,8/5/2017,3218.115017
329,8/6/2017,3252.562533
330,8/7/2017,3210.2
331,8/8/2017,3457.3743329999998
332,8/9/2017,3357.326317
333,8/10/2017,3340.28
334,8/11/2017,3632.506667
335,8/12/2017,3852.802914
336,8/13/2017,3868.52
337,8/14/2017,4282.992
338,8/15/2017,4217.028329
339,8/16/2017,4179.97
340,8/17/2017,4328.725717
341,8/18/2017,4130.440067
342,8/19/2017,4104.71
343,8/20/2017,4157.958033
344,8/21/2017,4043.722
345,8/22/2017,3986.28
346,8/23/2017,4174.95
347,8/24/2017,4340.316717000001
348,8/25/2017,4331.77
349,8/26/2017,4360.513317
350,8/27/2017,4354.308333
351,8/28/2017,4339.05
352,8/29/2017,4607.98545
353,8/30/2017,4594.98785
354,8/31/2017,4582.52
355,9/1/2017,4911.740017
356,9/2/2017,4580.387479999999
357,9/3/2017,4585.57
358,9/4/2017,4344.098317
359,9/5/2017,4488.720139999999
360,9/6/2017,4385.02
361,9/7/2017,4654.6585
362,9/8/2017,4310.750183
363,9/9/2017,4312.26
364,9/10/2017,4329.955
365,9/11/2017,4248.090017
366,9/12/2017,4198.59
367,9/13/2017,3961.271267
368,9/14/2017,3319.63
369,9/15/2017,3216.43
370,9/16/2017,3763.6260399999996
371,9/17/2017,3746.060783
372,9/18/2017,3678.53
373,9/19/2017,3943.413333
374,9/20/2017,3977.5616670000004
375,9/21/2017,3894.48
376,9/22/2017,3637.50255
377,9/23/2017,3776.3869
378,9/24/2017,3777.62
379,9/25/2017,3942.555
380,9/26/2017,3910.307383
381,9/27/2017,3881.0
382,9/28/2017,4201.98905
383,9/29/2017,4193.574667
384,9/30/2017,4164.27
385,10/1/2017,4360.722967000001
386,10/2/2017,4386.88375
387,10/3/2017,4394.07
388,10/4/2017,4225.175
389,10/5/2017,4338.852
390,10/6/2017,4318.58
391,10/7/2017,4376.191667
392,10/8/2017,4602.280882999999
393,10/9/2017,4605.66
394,10/10/2017,4782.28
395,10/11/2017,4819.485767
396,10/12/2017,4822.17
397,10/13/2017,5563.8065670000005
398,10/14/2017,5739.438733
399,10/15/2017,5825.99
400,10/16/2017,5711.205867000001
401,10/17/2017,5603.712939999999
402,10/18/2017,5594.66
403,10/19/2017,5727.6335
404,10/20/2017,5979.4598399999995
405,10/21/2017,5986.44
406,10/22/2017,5983.18455
407,10/23/2017,5876.079867
408,10/24/2017,5900.59
409,10/25/2017,5669.622533
410,10/26/2017,5893.138417
411,10/27/2017,5889.82
412,10/28/2017,5776.69695
413,10/29/2017,6155.434020000001
414,10/30/2017,6136.49
415,10/31/2017,6388.645167000001
416,11/1/2017,6665.306683
417,11/2/2017,6751.98
418,11/3/2017,7197.72006
419,11/4/2017,7437.543317000001
420,11/5/2017,7365.99
421,11/6/2017,6989.071667
422,11/7/2017,7092.127233
423,11/8/2017,7128.64
424,11/9/2017,7158.03706
425,11/10/2017,6719.39785
426,11/11/2017,6569.22
427,11/12/2017,5716.3015829999995
428,11/13/2017,6550.227533
429,11/14/2017,6493.63
430,11/15/2017,7301.4299200000005
431,11/16/2017,7815.0307
432,11/17/2017,7868.77
433,11/18/2017,7817.140383
434,11/19/2017,8007.654067
435,11/20/2017,8049.72
436,11/21/2017,8059.8
437,11/22/2017,8268.035
438,11/23/2017,8236.72
439,11/24/2017,8250.978333
440,11/25/2017,8707.407267
441,11/26/2017,8768.8
442,11/27/2017,9718.29505
443,11/28/2017,9952.508820000001
444,11/29/2017,9919.0
445,11/30/2017,10147.372
446,12/1/2017,10883.912
447,12/2/2017,10879.88
448,12/3/2017,11332.622
449,12/4/2017,11584.83
450,12/5/2017,11591.22
451,12/6/2017,13540.98
452,12/7/2017,16501.97167
453,12/8/2017,16860.88
454,12/9/2017,15142.83415
455,12/10/2017,14869.805
456,12/11/2017,15068.95
457,12/12/2017,17276.393330000003
458,12/13/2017,16808.36667
459,12/14/2017,16252.31
460,12/15/2017,17771.9
461,12/16/2017,19498.68333
462,12/17/2017,19279.9
463,12/18/2017,18961.856669999997
464,12/19/2017,17737.11167
465,12/20/2017,17382.94
466,12/21/2017,16047.51
467,12/22/2017,15190.945
468,12/23/2017,13776.61
469,12/24/2017,13949.175
470,12/25/2017,14119.028330000001
471,12/26/2017,13740.94
472,12/27/2017,15589.32167
473,12/28/2017,14380.58167
474,12/29/2017,14214.01
475,12/30/2017,13215.573999999999
476,12/31/2017,14165.575
477,1/1/2018,13796.0
478,1/2/2018,15005.85667
479,1/3/2018,15053.261669999998
480,1/4/2018,15039.24
481,1/5/2018,17174.12
482,1/6/2018,17319.198
483,1/7/2018,17155.95
484,1/8/2018,15265.906669999998
485,1/9/2018,14714.253330000001
486,1/10/2018,14437.42
487,1/11/2018,13296.794
488,1/12/2018,13912.882
489,1/13/2018,13791.19
490,1/14/2018,13852.92
491,1/15/2018,14012.196000000002
492,1/16/2018,13554.14
493,1/17/2018,11116.946670000001
494,1/18/2018,11345.42333
495,1/19/2018,11174.82
496,1/20/2018,12950.79333
497,1/21/2018,11505.228000000001
498,1/22/2018,11513.42
499,1/23/2018,11223.063999999998
500,1/24/2018,11282.25833
501,1/25/2018,11392.03
502,1/26/2018,10969.815
503,1/27/2018,11524.776670000001
504,1/28/2018,11431.37
505,1/29/2018,11212.655
506,1/30/2018,10184.061670000001
507,1/31/2018,10082.52
508,2/1/2018,9083.258333
509,2/2/2018,8901.901667
510,2/3/2018,8852.73
511,2/4/2018,8400.648333
512,2/5/2018,6838.816667
513,2/6/2018,6925.46
514,2/7/2018,8099.958333
515,2/8/2018,8240.536667
516,2/9/2018,8245.08
517,2/10/2018,8319.876565999999
518,2/11/2018,8343.455
519,2/12/2018,8068.02
520,2/13/2018,8597.7675
521,2/14/2018,9334.633333
522,2/15/2018,9471.64
523,2/16/2018,10127.16167
524,2/17/2018,10841.99167
525,2/18/2018,11085.83
526,2/19/2018,11110.965
527,2/20/2018,11390.39167
528,2/21/2018,11245.98
529,2/22/2018,9931.071667
530,2/23/2018,10162.11667
531,2/24/2018,10171.3
532,2/25/2018,9696.593333
533,2/26/2018,10348.60333
534,2/27/2018,10319.46
535,2/28/2018,10370.165
536,3/1/2018,11009.38167
537,3/2/2018,10931.12
538,3/3/2018,11326.94833
539,3/4/2018,11430.18167
540,3/5/2018,11516.83
541,3/6/2018,10763.19833
542,3/7/2018,10118.058
543,3/8/2018,9920.46
544,3/9/2018,9089.278333
545,3/10/2018,8746.002
546,3/11/2018,8777.37
547,3/12/2018,9182.843333
548,3/13/2018,9154.7
549,3/14/2018,9153.54
550,3/15/2018,8358.121667
551,3/16/2018,8530.402
552,3/17/2018,8297.89
553,3/18/2018,8171.415
554,3/19/2018,8412.033333
555,3/20/2018,8605.64
556,3/21/2018,8947.753333
557,3/22/2018,8690.408333
558,3/23/2018,8725.37
559,3/24/2018,8662.378333
560,3/25/2018,8617.296667
561,3/26/2018,8457.96
562,3/27/2018,7876.195
563,3/28/2018,7960.38
564,3/29/2018,7950.61
565,3/30/2018,6882.531667
566,3/31/2018,6935.48
567,4/1/2018,6937.56
568,4/2/2018,7035.848333
569,4/3/2018,7410.435
570,4/4/2018,7426.48
571,4/5/2018,6826.51
572,4/6/2018,6603.876667
573,4/7/2018,6634.68
574,4/8/2018,7017.656667
575,4/9/2018,6699.273333
576,4/10/2018,6784.41
577,4/11/2018,6926.266667
578,4/12/2018,7847.845
579,4/13/2018,7941.46
580,4/14/2018,8036.511051
581,4/15/2018,8340.748333
582,4/16/2018,8368.1
583,4/17/2018,7895.416926000001
584,4/18/2018,8164.937426
585,4/19/2018,8175.96
586,4/20/2018,8852.718333
587,4/21/2018,8807.205
588,4/22/2018,8930.6
589,4/23/2018,8933.861667000001
590,4/24/2018,9555.542
591,4/25/2018,9658.11
592,4/26/2018,9258.398333
593,4/27/2018,9010.32
594,4/28/2018,8928.55
595,4/29/2018,9334.281667
596,4/30/2018,9259.57
597,5/1/2018,9239.55
598,5/2/2018,9221.426
599,5/3/2018,9639.268333
600,5/4/2018,9753.35
601,5/5/2018,9803.306667
602,5/6/2018,9630.136277
603,5/7/2018,9631.44
604,5/8/2018,9228.608333
605,5/9/2018,9322.041667
606,5/10/2018,9310.37
607,5/11/2018,8468.788
608,5/12/2018,8484.346667
609,5/13/2018,8463.52
610,5/14/2018,8652.038333
611,5/15/2018,8511.458
612,5/16/2018,8471.06
613,5/17/2018,8106.118332999999
614,5/18/2018,8240.055
615,5/19/2018,8239.08
616,5/20/2018,8507.406667
617,5/21/2018,8385.556187
618,5/22/2018,8396.63
619,5/23/2018,7555.74
620,5/24/2018,7566.193333
621,5/25/2018,7576.78
622,5/26/2018,7342.908332999999
623,5/27/2018,7361.831667
624,5/28/2018,7344.56
625,5/29/2018,7459.876667
626,5/30/2018,7385.395
627,5/31/2018,7386.72
628,6/1/2018,7535.146667
629,6/2/2018,7645.146667
630,6/3/2018,7637.14
631,6/4/2018,7500.273333
632,6/5/2018,7615.7221420000005
633,6/6/2018,7619.43
634,6/7/2018,7676.271667
635,6/8/2018,7620.153333
636,6/9/2018,7615.54
637,6/10/2018,6776.888333
638,6/11/2018,6875.678333
639,6/12/2018,6879.31
640,6/13/2018,6315.7
641,6/14/2018,6647.013333
642,6/15/2018,6637.41
643,6/16/2018,6509.426667
644,6/17/2018,6464.411667
645,6/18/2018,6445.79
646,6/19/2018,6737.0
647,6/20/2018,6714.718333
648,6/21/2018,6760.83
649,6/22/2018,6332.573333
650,6/23/2018,6141.605833
651,6/24/2018,6170.46
652,6/25/2018,6211.4475
653,6/26/2018,6218.595
654,6/27/2018,6097.46
655,6/28/2018,6107.896154
656,6/29/2018,5908.7025
657,6/30/2018,6223.28
658,7/1/2018,6374.754167
659,7/2/2018,6466.069167000001
660,7/3/2018,6626.44
661,7/4/2018,6593.289167
662,7/5/2018,6603.376667
663,7/6/2018,6555.51
664,7/7/2018,6594.281667
665,7/8/2018,6753.559167
666,7/9/2018,6724.04
667,7/10/2018,6510.791667
668,7/11/2018,6377.363333
669,7/12/2018,6403.18
670,7/13/2018,6244.3575
671,7/14/2018,6241.0
672,7/15/2018,6248.84
673,7/16/2018,6514.3908329999995
674,7/17/2018,6869.910833
675,7/18/2018,7321.62
676,7/19/2018,7396.401667
677,7/20/2018,7428.045
678,7/21/2018,7334.99
679,7/22/2018,7451.289167
680,7/23/2018,7689.884167
681,7/24/2018,7715.1
682,7/25/2018,8251.165
683,7/26/2018,8187.324167
684,7/27/2018,7939.81
685,7/28/2018,8182.251667
686,7/29/2018,8206.341667
687,7/30/2018,8220.91
688,7/31/2018,7916.800833
689,8/1/2018,7570.869167
690,8/2/2018,7607.7
691,8/3/2018,7394.499167
692,8/4/2018,7247.769167
693,8/5/2018,7011.28
694,8/6/2018,6988.079167
695,8/7/2018,6993.513333
696,8/8/2018,6718.23
697,8/9/2018,6396.7725
698,8/10/2018,6396.494667
699,8/11/2018,6138.96
700,8/12/2018,6311.131667000001
701,8/13/2018,6347.07
702,8/14/2018,6252.13
703,8/15/2018,6362.676923
704,8/16/2018,6342.629231
705,8/17/2018,6312.75
706,8/18/2018,6436.720832999999
707,8/19/2018,6404.063333
708,8/20/2018,6486.58
709,8/21/2018,6401.2461539999995
710,8/22/2018,6575.229167
711,8/23/2018,6354.57
712,8/24/2018,6543.645714
713,8/25/2018,6719.429231
714,8/26/2018,6738.27
715,8/27/2018,6719.266154000001
716,8/28/2018,7000.04
717,8/29/2018,7078.19
718,8/30/2018,6932.6625
719,8/31/2018,6981.946154
720,9/1/2018,7018.78
721,9/2/2018,7247.935385
722,9/3/2018,7260.9492310000005
723,9/4/2018,7265.08
724,9/5/2018,7113.069231
725,9/6/2018,6433.271667
726,9/7/2018,6501.19
727,9/8/2018,6366.1075
728,9/9/2018,6286.425833
729,9/10/2018,6240.98
730,9/11/2018,6296.320833
731,9/12/2018,6273.1375
732,9/13/2018,6326.04
733,9/14/2018,6499.0625
734,9/15/2018,6518.655
735,9/16/2018,6522.39
736,9/17/2018,6400.6008329999995
737,9/18/2018,6296.631667000001
738,9/19/2018,6342.39
739,9/20/2018,6418.562667
740,9/21/2018,6669.990833
741,9/22/2018,6756.12
742,9/23/2018,6710.445
743,9/24/2018,6639.304167
744,9/25/2018,6583.45
745,9/26/2018,6468.631667000001
746,9/27/2018,6535.476667
747,9/28/2018,6686.08
748,9/29/2018,6550.474167
749,9/30/2018,6593.135
750,10/1/2018,6611.02
751,10/2/2018,6562.641667
752,10/3/2018,6470.4025
753,10/4/2018,6483.73
754,10/5/2018,6568.549167
755,10/6/2018,6581.486667
756,10/7/2018,6573.62
757,10/8/2018,6618.5676920000005
758,10/9/2018,6621.7116670000005
759,10/10/2018,6626.85
760,10/11/2018,6248.635833
761,10/12/2018,6260.530833
762,10/13/2018,6247.0
763,10/14/2018,6299.3991670000005
764,10/15/2018,6452.571667
765,10/16/2018,6599.17
766,10/17/2018,6596.276154
767,10/18/2018,6568.040769
768,10/19/2018,6509.61
769,10/20/2018,6488.825833
770,10/21/2018,6531.601667
771,10/22/2018,6504.78
772,10/23/2018,6481.4259999999995
773,10/24/2018,6508.31
774,10/25/2018,6489.77
775,10/26/2018,6473.753333
776,10/27/2018,6465.9175
777,10/28/2018,6457.21
778,10/29/2018,6382.668333
779,10/30/2018,6309.452857
780,10/31/2018,6301.61
781,11/1/2018,6342.280833
782,11/2/2018,6387.674167
783,11/3/2018,6390.42
784,11/4/2018,6391.873333
785,11/5/2018,6436.965
786,11/6/2018,6437.76
787,11/7/2018,6538.79
788,11/8/2018,6486.251667
789,11/9/2018,6444.97
790,11/10/2018,6399.033332999999
791,11/11/2018,6378.268333
792,11/12/2018,6408.53
793,11/13/2018,6372.063333
794,11/14/2018,6176.155
795,11/15/2018,5756.77
796,11/16/2018,5596.1925
797,11/17/2018,5558.243332999999
798,11/18/2018,5572.44
799,11/19/2018,5303.9425
800,11/20/2018,4671.97
801,11/21/2018,4491.98
802,11/22/2018,4548.7975
803,11/23/2018,4309.3375
804,11/24/2018,4352.98
805,11/25/2018,3823.511667
806,11/26/2018,3920.5366670000003
807,11/27/2018,3793.35
808,11/28/2018,4103.453846
809,11/29/2018,4263.783332999999
810,11/30/2018,4278.77
811,12/1/2018,4116.7775
812,12/2/2018,4167.5466670000005
813,12/3/2018,4140.6
814,12/4/2018,3961.493333
815,12/5/2018,3858.3491670000003
816,12/6/2018,3744.98
817,12/7/2018,3405.643333
818,12/8/2018,3435.34
819,12/9/2018,3453.66
820,12/10/2018,3523.96
821,12/11/2018,3426.19
822,12/12/2018,3407.28
823,12/13/2018,3406.7625
824,12/14/2018,3278.3741670000004
825,12/15/2018,3242.42
826,12/16/2018,3271.238333
827,12/17/2018,3392.405
828,12/18/2018,3556.54
829,12/19/2018,3808.0425
830,12/20/2018,3982.850833
831,12/21/2018,4135.19
832,12/22/2018,3910.973333
833,12/23/2018,4027.478333
834,12/24/2018,3995.17
835,12/25/2018,3813.88
836,12/26/2018,3825.379167
837,12/27/2018,3848.21
838,12/28/2018,3743.905
839,12/29/2018,3912.285833
840,12/30/2018,3770.36
841,12/31/2018,3791.5458329999997
842,1/1/2019,3752.271667
843,1/2/2019,3855.88
844,1/3/2019,3865.7975
845,1/4/2019,3822.626667
846,1/5/2019,3856.62
847,1/6/2019,3920.4566670000004
848,1/7/2019,4036.093333
849,1/8/2019,4032.25
850,1/9/2019,4034.138333
851,1/10/2019,3812.5858329999996
852,1/11/2019,3646.25
853,1/12/2019,3646.345833
854,1/13/2019,3599.841667
855,1/14/2019,3531.96
856,1/15/2019,3656.785
857,1/16/2019,3621.270833
858,1/17/2019,3621.43
859,1/18/2019,3632.395
860,1/19/2019,3690.5233329999996
861,1/20/2019,3703.98
862,1/21/2019,3548.4275
863,1/22/2019,3540.02
864,1/23/2019,3587.35
865,1/24/2019,3566.4
866,1/25/2019,3586.25
867,1/26/2019,3577.79
868,1/27/2019,3576.3
869,1/28/2019,3554.5
870,1/29/2019,3448.58
871,1/30/2019,3421.6
872,1/31/2019,3470.0
873,2/1/2019,3444.81
874,2/2/2019,3475.33
875,2/3/2019,3506.22
876,2/4/2019,3456.02
877,2/5/2019,3452.35
878,2/6/2019,3467.34
879,2/7/2019,3405.7
880,2/8/2019,3394.76
881,2/9/2019,3661.08
882,2/10/2019,3664.38
883,2/11/2019,3686.29
884,2/12/2019,3629.47
885,2/13/2019,3632.42
886,2/14/2019,3614.5
887,2/15/2019,3600.31
888,2/16/2019,3608.2
889,2/17/2019,3619.55
890,2/18/2019,3670.74
891,2/19/2019,3910.8
892,2/20/2019,3926.53
893,2/21/2019,3987.18
894,2/22/2019,3944.88
895,2/23/2019,3983.48
896,2/24/2019,4139.6
897,2/25/2019,3766.89
898,2/26/2019,3848.33
899,2/27/2019,3831.45
900,2/28/2019,3833.23
901,3/1/2019,3850.08
902,3/2/2019,3834.62
903,3/3/2019,3831.44
904,3/4/2019,3814.58
905,3/5/2019,3730.98
906,3/6/2019,3872.25
907,3/7/2019,3876.85
908,3/8/2019,3886.82
909,3/9/2019,3875.96
910,3/10/2019,3950.56
911,3/11/2019,3928.17
912,3/12/2019,3881.09
913,3/13/2019,3892.51
914,3/14/2019,3877.77
915,3/15/2019,3885.21
916,3/16/2019,3936.5
917,3/17/2019,4015.95
918,3/18/2019,3994.92
919,3/19/2019,3998.77
920,3/20/2019,4029.11
921,3/21/2019,4056.4
922,3/22/2019,3992.34
923,3/23/2019,3999.06
924,3/24/2019,4011.92
925,3/25/2019,3994.11
926,3/26/2019,3935.89
927,3/27/2019,3947.74
928,3/28/2019,4048.51
929,3/29/2019,4037.37
930,3/30/2019,4115.55
931,3/31/2019,4114.44
932,4/1/2019,4114.16
933,4/2/2019,4152.53
934,4/3/2019,4882.88
935,4/4/2019,4959.81
936,4/5/2019,4911.24
937,4/6/2019,5028.77
938,4/7/2019,5053.52
939,4/8/2019,5189.39
940,4/9/2019,5268.71
941,4/10/2019,5175.81
942,4/11/2019,5310.18
943,4/12/2019,5035.02
944,4/13/2019,5072.85
945,4/14/2019,5064.62
946,4/15/2019,5152.51
947,4/16/2019,5036.18
948,4/17/2019,5196.65
949,4/18/2019,5220.37
950,4/19/2019,5276.31
951,4/20/2019,5277.04
952,4/21/2019,5309.28
953,4/22/2019,5281.83
954,4/23/2019,5377.19
955,4/24/2019,5518.16
956,4/25/2019,5434.19
957,4/26/2019,5195.61
958,4/27/2019,5292.83
959,4/28/2019,5280.19
960,4/29/2019,5301.29
961,4/30/2019,5260.65
962,5/1/2019,5269.79
963,5/2/2019,5326.67
964,5/3/2019,5390.16
