number,Date,USD (PM)
808,11/20/2019,1471.7
809,11/21/2019,1467.05
810,11/22/2019,1464.45
811,11/25/2019,1458.4
812,11/26/2019,1454.65
813,11/27/2019,1454.35
814,11/28/2019,1454.65
815,11/29/2019,1460.15
816,12/2/2019,1461.15
817,12/3/2019,1477.3
818,12/4/2019,1475.1
819,12/5/2019,1475.95
820,12/6/2019,1459.65
821,12/9/2019,1461.7
822,12/10/2019,1464.95
823,12/11/2019,1466.8
824,12/12/2019,1467.8
825,12/13/2019,1466.6
826,12/16/2019,1477.9
827,12/17/2019,1475.8
828,12/18/2019,1474.05
829,12/19/2019,1476.7
830,12/20/2019,1479.0
831,12/23/2019,1482.1
833,12/27/2019,1511.5
834,12/30/2019,1514.75
836,1/2/2020,1527.1
837,1/3/2020,1548.75
838,1/6/2020,1573.1
839,1/7/2020,1567.85
840,1/8/2020,1571.95
841,1/9/2020,1550.75
842,1/10/2020,1553.6
843,1/13/2020,1549.9
844,1/14/2020,1545.1
845,1/15/2020,1549.0
846,1/16/2020,1554.55
847,1/17/2020,1557.6
848,1/20/2020,1560.15
849,1/21/2020,1551.3
850,1/22/2020,1556.9
851,1/23/2020,1562.9
852,1/24/2020,1564.3
853,1/27/2020,1580.1
854,1/28/2020,1574.0
855,1/29/2020,1573.45
856,1/30/2020,1578.25
857,1/31/2020,1584.2
858,2/3/2020,1574.75
859,2/4/2020,1558.35
860,2/5/2020,1553.3
861,2/6/2020,1563.3
862,2/7/2020,1572.65
863,2/10/2020,1573.2
864,2/11/2020,1570.5
865,2/12/2020,1563.7
866,2/13/2020,1575.05
867,2/14/2020,1581.4
868,2/17/2020,1580.8
869,2/18/2020,1589.85
870,2/19/2020,1604.2
871,2/20/2020,1619.0
872,2/21/2020,1643.3
873,2/24/2020,1671.65
874,2/25/2020,1650.3
875,2/26/2020,1634.9
876,2/27/2020,1652.0
877,2/28/2020,1609.85
878,3/2/2020,1599.65
879,3/3/2020,1615.5
880,3/4/2020,1641.85
881,3/5/2020,1659.6
882,3/6/2020,1683.65
883,3/9/2020,1672.5
884,3/10/2020,1655.7
885,3/11/2020,1653.75
886,3/12/2020,1570.7
887,3/13/2020,1562.8
888,3/16/2020,1487.7
889,3/17/2020,1536.2
890,3/18/2020,1498.2
891,3/19/2020,1474.25
892,3/20/2020,1494.4
893,3/23/2020,1525.4
894,3/24/2020,1605.75
895,3/25/2020,1605.45
896,3/26/2020,1634.8
897,3/27/2020,1617.3
898,3/30/2020,1618.3
899,3/31/2020,1608.95
900,4/1/2020,1576.55
901,4/2/2020,1616.8
902,4/3/2020,1613.1
903,4/6/2020,1648.3
904,4/7/2020,1649.25
905,4/8/2020,1647.8
906,4/9/2020,1680.65
907,4/14/2020,1741.9
908,4/15/2020,1718.65
909,4/16/2020,1729.5
910,4/17/2020,1692.55
911,4/20/2020,1686.2
912,4/21/2020,1682.05
913,4/22/2020,1710.55
914,4/23/2020,1736.25
915,4/24/2020,1715.9
916,4/27/2020,1714.95
917,4/28/2020,1691.55
918,4/29/2020,1703.35
919,4/30/2020,1702.75
920,5/1/2020,1686.25
921,5/4/2020,1709.1
922,5/5/2020,1699.55
923,5/6/2020,1691.5
924,5/7/2020,1704.05
925,5/11/2020,1702.75
926,5/12/2020,1702.4
927,5/13/2020,1708.4
928,5/14/2020,1731.6
929,5/15/2020,1735.35
930,5/18/2020,1734.7
931,5/19/2020,1737.95
932,5/20/2020,1748.3
933,5/21/2020,1724.9
934,5/22/2020,1733.55
935,5/26/2020,1720.25
936,5/27/2020,1694.6
937,5/28/2020,1717.35
938,5/29/2020,1728.7
939,6/1/2020,1730.6
940,6/2/2020,1742.15
941,6/3/2020,1705.35
942,6/4/2020,1700.05
943,6/5/2020,1683.45
944,6/8/2020,1690.35
945,6/9/2020,1713.5
946,6/10/2020,1722.05
947,6/11/2020,1738.25
948,6/12/2020,1733.5
949,6/15/2020,1710.45
950,6/16/2020,1719.85
951,6/17/2020,1724.35
952,6/18/2020,1719.5
953,6/19/2020,1734.75
954,6/22/2020,1761.85
955,6/23/2020,1768.9
956,6/24/2020,1766.05
957,6/25/2020,1756.55
958,6/26/2020,1747.6
959,6/29/2020,1771.6
960,6/30/2020,1768.1
961,7/1/2020,1771.05
962,7/2/2020,1777.45
963,7/3/2020,1772.9
964,7/6/2020,1787.9
965,7/7/2020,1789.55
966,7/8/2020,1811.1
967,7/9/2020,1812.1
968,7/10/2020,1803.1
969,7/13/2020,1807.5
970,7/14/2020,1801.9
971,7/15/2020,1804.6
972,7/16/2020,1807.7
973,7/17/2020,1807.35
974,7/20/2020,1815.65
975,7/21/2020,1842.55
976,7/22/2020,1852.4
977,7/23/2020,1878.3
978,7/24/2020,1902.1
979,7/27/2020,1936.65
980,7/28/2020,1940.9
981,7/29/2020,1950.9
982,7/30/2020,1957.65
983,7/31/2020,1964.9
984,8/3/2020,1958.55
985,8/4/2020,1977.9
986,8/5/2020,2048.15
987,8/6/2020,2067.15
988,8/7/2020,2031.15
989,8/10/2020,2044.5
990,8/11/2020,1939.65
991,8/12/2020,1931.9
992,8/13/2020,1944.25
993,8/14/2020,1944.75
994,8/17/2020,1972.85
995,8/18/2020,2008.75
996,8/19/2020,1981.0
997,8/20/2020,1927.15
998,8/21/2020,1924.35
999,8/24/2020,1943.95
1000,8/25/2020,1911.15
1001,8/26/2020,1932.95
1002,8/27/2020,1923.85
1003,8/28/2020,1957.35
1004,9/1/2020,1972.35
